"","target_years","offset_14c_ages","measurement_errors","offset_magnitudes"
"1",7105,6213.59067854205,19.1329913265072,15.5836596619338
"2",6723,5927.18569943544,22.098665934056,40.3364554978907
"3",4178,3798.72602957435,24.0359952216968,15.2396606747061
"4",9273,8216.26930132407,26.8207586638164,-20.9670624230057
"5",4898,4374.85735217876,25.5908717394341,16.2635581800714
"6",673,753.559699085911,31.27831536741,43.7429605750367
"7",5336,4692.54819886889,32.467272909591,1.66132228914648
"8",2895,2836.48898497356,23.4187146543991,-1.77169782109559
"9",3807,3377.46567539701,17.1557190411258,-35.5569330975413
"10",8235,7404.98788803174,13.6682991117705,-31.0853095026687
"11",2730,2538.51676496321,9.30432331655174,-37.2996802208945
"12",8406,7679.77711302111,26.1976408909541,46.4519392699003
"13",6006,5281.89376451421,18.6091175021138,-13.6395587818697
"14",2253,2228.92196205815,26.3388240607455,7.15296575799584
"15",9876,8764.47451213011,28.3065057913773,-4.6628437936306
"16",9722,8733.57267218518,9.80776655371301,-23.2934653060511
"17",2178,2207.21582906769,22.8072420670651,-44.2566965473816
"18",5220,4493.52843228341,27.0701154698618,-7.38817886449397
"19",10539,9264.32131282762,19.4021775675938,-48.7888054223731
"20",7630,6810.96349077423,14.7464688068721,19.7902110405266
"21",10284,9205.29118733805,34.6697102128528,-18.8490362139419
"22",3142,3016.67498060887,14.5563903141301,42.2992416424677
"23",9473,8417.92627459252,30.7969548408873,-15.4956058599055
"24",12269,10382.0178886956,19.8587255401071,-11.0627682646737
"25",1520,1657.41507886609,34.6189989862032,15.8006393350661
"26",3127,2941.94360831591,32.2545756562613,-28.1497954158112
"27",2950,2894.77889308216,17.5925024230964,44.0559873590246
"28",2569,2513.67054395395,28.759669930907,17.7933821687475
"29",2560,2446.66572195799,34.8585818309803,-12.233627657406
"30",3913,3611.90460491391,17.6621014659759,9.30149944033474
"31",5932,5167.61987670792,33.2844845678192,-23.3716737246141
"32",9388,8332.12350942694,8.73826466011815,32.6997145777568
"33",10183,8933.14220956325,11.597940483829,-49.32036108803
"34",2296,2165.43363455256,28.8106630472466,-45.4583965241909
"35",5616,4913.15510293746,24.9069697584491,-45.9283340489492
"36",7968,7193.17640910876,27.792998618912,4.22589986119419
"37",3141,2984.38023350669,15.3396362354979,29.3512317584828
"38",3644,3422.89037384183,34.4515154599212,32.0712786633521
"39",3035,2896.99356582274,28.696771245217,8.4526291815564
"40",3721,3438.08706837554,27.4076743787155,2.9900822089985
"41",11742,10118.7110428663,34.3924403050914,-9.6665256889537
"42",10015,8901.95237587489,20.8976895913947,9.92066708859056
"43",9482,8487.99126552669,29.4061588491313,29.4104052707553
"44",7443,6592.29015496862,25.9206826202571,-25.0871781725436
"45",3305,3043.11668245738,31.0054584625177,-10.3771020425484
"46",9134,8224.47655351248,30.9582634484395,-25.1683592097834
"47",224,82.5684777623456,9.75656049721874,-40.2226900216192
"48",9291,8290.4583764254,34.8500497660134,-21.1648731026798
"49",5429,4683.24673951569,19.3667135173455,43.6368076130748
"50",4485,3981.62465331074,31.7672752165236,6.96157661732286
"51",9034,8141.2993504114,27.58390498464,-30.8691786369309
"52",1831,1929.3157273901,11.4188337305095,20.2410980127752
"53",10515,9335.44339502801,29.6010579629801,30.6052282219753
"54",10520,9327.30974711043,20.5176708695944,11.3321280339733
"55",5179,4507.42424222197,29.2441401141696,-6.12036110833287
"56",11746,10069.2493525392,20.5516815355513,-11.9860723381862
"57",1959,2004.99445323965,25.5933837203775,-15.2074830140918
"58",3559,3338.6003969564,8.85116455820389,20.735950069502
"59",2699,2461.55996983188,28.3841612555552,-45.1895316131413
"60",4300,3882.87107868848,24.3511147783138,-5.56158320978284
"61",2215,2275.24034297758,12.1870582650881,17.574630305171
