sim_number,oxcal_target,a_pass,targets,span,samples,errors,offset,offset_sd,model_run,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95
1,T9902,Pass,9902,82,25,28,-5.319910822,2.706112265,1,1,1,15,51,0,0
2,T9988,Pass,9988,37,17,22,-26.22072615,10.94862656,1,0,0,21,36.5,80,71
3,T10076,Pass,10076,39,19,29,-38.42887841,9.318013817,1,0,0,41.5,91,265.5,205.5
4,T10016,Pass,10016,90,17,14,-10.63032157,3.910242114,1,1,1,12.5,24.5,0,0
5,T10082,Pass,10082,89,15,28,-30.72639906,10.24868777,1,0,0,24.5,40.5,207,197.5
6,T10043,Fail,10043,80,23,27,-15.5025956,26.27047148,1,0,1,10.5,22,2.5,0
7,T9981,Pass,9981,58,23,17,-31.23847295,2.092726949,1,0,0,11,29,75.5,70.5
8,T9985,Pass,9985,35,11,10,-24.97121932,22.53212668,1,0,1,14,54,96,0
9,T9933,Pass,9933,55,12,23,6.012635143,1.412802927,1,1,1,53.5,115,0,0
10,T9980,Pass,9980,46,9,15,-43.61182889,12.18323434,1,0,0,20,57,84.5,67
11,T9973,Fail,9973,61,14,16,32.75173521,0.814357535,1,1,1,20,39.5,0,0
12,T10041,Pass,10041,63,25,20,-35.38592753,13.32198874,1,0,1,15,26.5,6.5,0
13,T10012,Pass,10012,48,18,31,29.09371422,3.868579001,1,0,0,17.5,31,115.5,108.5
14,T9941,Fail,9941,52,6,9,48.39130666,14.14081162,1,0,0,16.5,29.5,200.5,193
15,T10005,Pass,10005,69,23,24,10.01473665,15.42014146,1,1,1,30.5,76.5,0,0
16,T10089,Pass,10089,85,3,22,17.67013432,18.24445913,1,0,1,29,69.5,19,0
17,T9978,Pass,9978,33,24,8,6.092449091,4.894382704,1,1,1,8.5,18,0,0
18,T9930,Pass,9930,31,22,15,40.84571907,2.503088572,1,0,0,21.5,49,202,29
19,T9930,Fail,9930,27,10,15,-46.36940095,13.96830579,1,0,0,23,44.5,104.5,99.5
20,T10001,Pass,10001,55,11,25,40.81589917,14.8268561,1,0,0,19.5,31.5,119,114
21,T10076,Pass,10076,67,13,17,42.41109872,8.579094804,1,0,0,10.5,22.5,37.5,31
22,T10068,Pass,10068,32,13,19,16.66604395,24.45282443,1,0,0,37.5,89.5,8.5,4
23,T10049,Pass,10049,64,9,17,-19.60911995,14.25671013,1,0,0,26,83,246.5,3
24,T9997,Pass,9997,63,13,20,-8.214238612,14.05941769,1,0,1,44.5,92.5,29,0
25,T10036,Pass,10036,44,13,10,4.135024361,10.38290469,1,0,1,12.5,34.5,69,0
26,T10025,Pass,10025,49,24,13,10.63345789,23.49879458,1,1,1,21,39,0,0
27,T10073,Pass,10073,65,23,25,-0.460782903,7.046609052,1,1,1,14,25,0,0
28,T9967,Fail,9967,43,15,16,32.51318571,13.76216062,1,0,1,13,36.5,174,0
29,T9976,Fail,9976,56,19,13,30.73009965,8.717942644,1,1,1,15.5,46,0,0
30,T9942,Pass,9942,76,13,21,29.52172861,0.721570404,1,1,1,19,87,0,0
31,T9986,Pass,9986,89,15,21,-38.09979779,16.30294218,1,0,0,27.5,65.5,17,13.5
32,T10001,Pass,10001,74,6,25,-40.18318723,4.861529968,1,0,1,40.5,127,4,0
33,T10075,Pass,10075,66,8,26,36.45395518,11.29109298,1,0,1,79.5,143.5,4.5,0
34,T10026,Pass,10026,27,13,12,-11.080091,3.871183352,1,0,1,46.5,108,22.5,0
35,T10074,Pass,10074,74,15,17,29.85746427,25.09203676,1,0,0,48,113.5,23,1.5
36,T10030,Fail,10030,78,25,28,-38.87106034,4.29074224,1,1,1,8.5,18,0,0
37,T9947,Pass,9947,53,11,23,-19.07234797,12.09359918,1,0,1,48.5,143,5,0
38,T10030,Pass,10030,54,11,21,-49.35669764,10.1029842,1,0,0,27.5,47,223.5,214.5
39,T9987,Pass,9987,40,17,11,43.1103772,21.38771582,1,0,0,15,26.5,142,135.5
40,T9948,Pass,9948,53,17,18,38.04733851,1.082771349,1,0,0,12,24,187.5,181
41,T9925,Pass,9925,61,4,30,14.2830787,2.938240466,1,1,1,90.5,201,0,0
42,T10098,Pass,10098,59,7,27,16.95130626,22.65703747,1,0,0,14,31.5,28,17
43,T10075,Pass,10075,75,22,11,18.48734184,5.818728569,1,0,1,29,72.5,8,0
44,T10086,Pass,10086,26,20,24,46.74891818,20.3039781,1,0,0,34,101.5,29.5,25
45,T10017,Pass,10017,36,5,26,-45.55727644,3.751049902,1,0,1,76,163.5,24.5,0
46,T9967,Fail,9967,94,17,14,38.51820873,14.63159554,1,0,1,12.5,25.5,1,0
47,T10072,Pass,10072,69,15,19,45.30672384,9.336400857,1,0,0,11.5,23,38.5,33
48,T10078,Pass,10078,32,12,29,40.76900268,20.54688316,1,0,0,31,99.5,26,19.5
49,T10029,Pass,10029,98,19,30,21.15565818,13.06838163,1,0,1,17.5,65.5,64.5,0
50,T9964,Pass,9964,100,5,21,-10.31950868,9.393859499,1,0,1,39,101,29.5,0
51,T10050,Pass,10050,69,7,18,-47.65847856,5.241185982,1,0,0,29.5,52,217,213
52,T9991,Pass,9991,77,4,13,-21.50977112,5.691790267,1,0,1,32,86.5,16.5,0
53,T10032,Pass,10032,47,22,19,24.92230376,0.473668742,1,0,1,9,32.5,68,0
54,T9944,Fail,9944,92,22,32,43.73658875,12.65629888,1,1,1,13.5,56.5,0,0
55,T9948,Fail,9948,52,14,11,37.42976722,11.81940651,1,0,0,12,30,186.5,5
56,T10050,Fail,10050,61,14,19,46.17773464,20.83135767,1,0,0,9.5,25,82,76.5
57,T9908,Fail,9908,92,11,16,20.46800994,17.12392124,1,1,1,15,52.5,0,0
58,T9909,Pass,9909,65,11,21,-9.432637296,10.45846222,1,0,1,32,61.5,5,0
59,T9979,Pass,9979,61,23,32,1.835111924,9.147508661,1,1,1,23.5,100,0,0
60,T10020,Pass,10020,53,11,23,6.560165668,2.106126087,1,1,1,57.5,123,0,0
61,T10008,Pass,10008,82,5,28,-23.3852305,7.421830869,1,0,1,45,109.5,0.5,0
62,T9934,Pass,9934,52,22,18,-8.544271742,6.396922945,1,1,1,21,45.5,0,0
63,T10042,Pass,10042,57,6,10,20.7292153,0.981371978,1,0,1,12.5,54.5,70,0
64,T9952,Fail,9952,78,24,9,36.40443545,7.272026544,1,0,1,7,16,1.5,0
65,T9999,Pass,9999,86,12,10,13.42495547,20.8803218,1,0,1,14.5,48,70.5,0
66,T9954,Pass,9954,95,13,27,-9.328087373,12.25846764,1,1,1,41,104,0,0
67,T9983,Pass,9983,100,25,15,-14.78071199,18.15304745,1,1,1,14.5,44,0,0
68,T10053,Pass,10053,58,22,9,-3.764893208,20.50484831,1,0,1,7.5,16,1,0
69,T10003,Pass,10003,97,6,25,15.20442839,11.2223514,1,0,1,96,164.5,1,0
70,T9936,Pass,9936,69,2,28,17.36232876,20.18824281,1,0,1,87.5,216,9,0
71,T9975,Pass,9975,94,17,24,-7.495913235,24.84476096,1,1,1,15.5,51.5,0,0
72,T9975,Pass,9975,87,21,15,-26.03307799,1.85214702,1,0,0,10,20,76.5,71.5
73,T9964,Pass,9964,30,14,22,-25.37105815,0.576671029,1,1,1,37,105.5,0,0
74,T10012,Pass,10012,70,11,12,-10.86445714,16.06359881,1,0,1,16.5,35.5,1,0
75,T9999,Pass,9999,38,20,28,-44.46616557,0.663913552,1,0,0,20.5,43.5,72,66
76,T10058,Pass,10058,64,2,30,-41.56552006,17.70379694,1,0,0,108,236,10.5,1
77,T9999,Pass,9999,90,9,20,3.919846122,1.9011402,1,1,1,39.5,117,0,0
78,T9951,Fail,9951,98,16,20,30.67950148,11.77508952,1,1,1,9.5,22,0,0
